kanjireading,rank,weight
撃[げき],305,843.996916977326
術[じゅつ],306,846.796505851644
直[なお],307,848.425105497825
知[ち],308,848.842124100358
音[おん],309,849.483313047688
止[と],310,850.280992788103
次[つぎ],311,851.642392245583
常[じょう],312,853.148432418489
様[よう],313,853.276829334432
式[しき],314,859.278917578009
下[した],315,859.649372457620
食[く],316,860.603285356568
保[ほ],317,862.122376257874
確[たし],318,862.444475153753
視[し],319,862.511023333371
件[けん],320,864.248609466469
交[こう],321,865.087060343439
応[おう],322,866.009121075502
買[か],323,867.511245787493
肉[にく],324,868.329416460190
集[しゅう],325,869.622646101943
目[もく],326,871.561131928622
掛[か],327,872.615147725702
初[しょ],328,874.242947869508
飲[の],329,881.572550678206
段[だん],330,882.858193950568
単[たん],331,885.854713642979
出[しゅつ],332,886.312763718420
重[じゅう],333,891.161018271312
病[びょう],334,891.403537538360
近[きん],335,892.592985137286
焼[や],336,898.272081643943
着[ちゃく],337,898.829436943909
場[じょう],338,904.940203171506
突[つ],339,908.928628970942
見[けん],340,909.086440126200
忘[わす],341,912.565723570705
仲[なか],342,913.991703579234
備[び],343,919.179332440386
野[や],344,919.568749096412
手[しゅ],345,920.567950799475
談[だん],346,925.970447346522
強[つよ],347,927.824344418341
軍[ぐん],348,931.089020135036
第[だい],349,934.869342533414
質[しつ],350,936.387338115200
過[す],351,940.906236854144
議[ぎ],352,944.399393848479
加[か],353,945.865865235754
必[ひつ],354,946.830521215434
論[ろん],355,947.194564777231
痛[いた],356,949.414018209561
置[お],357,950.133523453911
頼[たの],358,953.757398602904
字[じ],359,958.187678611707
画[が],360,959.961535159829
元[げん],361,960.315677754894
着[つ],362,962.377595615305
務[む],363,962.965883875136
張[ば],364,968.842546803198
得[とく],365,969.323559730639
完[かん],366,974.907383691415
害[がい],367,975.693754944708
由[ゆう],368,976.045796170431
失[しつ],369,976.469447379090
言[げん],370,977.640229351138
識[しき],371,984.498058826846
験[けん],372,984.722836876369
証[しょう],373,986.559231114470
権[けん],374,987.744309000570
民[みん],375,987.772764218894
流[りゅう],376,988.964187420431
多[た],377,992.140538489136
両[りょう],378,992.355168960960
士[し],379,994.221026994619
間[あいだ],380,998.662759132006
覚[かく],381,999.988651309057
流[なが],382,1001.407603661568
任[にん],383,1002.024010023208
申[もう],384,1002.194088524575
果[か],385,1003.145724109124
客[きゃく],386,1004.638401583518
事[こと],387,1006.762053693282
小[しょう],388,1012.317241118072
茶[ちゃ],389,1013.281111757221
精[せい],390,1013.585614972738
泣[な],391,1015.985250724520
出[しゅっ],392,1020.409676887919
白[しろ],393,1023.269698348580
表[ひょう],394,1025.913525005551
配[ぱい],395,1026.801525199193
量[りょう],396,1029.645440249798
隠[かく],397,1030.920378484909
過[か],398,1038.194086647073
書[か],399,1047.332581372822
渡[わた],400,1049.382954851737
教[おし],401,1049.561413839720
少[しょう],402,1049.968328872621
君[くん],403,1050.470583979785
満[まん],404,1050.536422124459
好[こう],405,1054.619795109379
家[いえ],406,1056.267713339174
息[いき],407,1057.528321515615
和[わ],408,1058.059291318895
説[せつ],409,1058.084164829681
山[やま],410,1059.256494307461
警[けい],411,1060.991732905567
覚[おぼ],412,1061.643511079157
風[ふう],413,1062.077644978912
正[しょう],414,1063.349049292553
観[かん],415,1065.831835097806
族[ぞく],416,1070.228646585889
彼[かれ],417,1084.185075329390
案[あん],418,1085.004440761398
異[い],419,1087.262200328172
告[こく],420,1089.949653288829
位[い],421,1091.722882570393
直[ちょく],422,1093.381383100524
真[ま],423,1093.790872277399
良[よ],424,1096.455116358939
日[じつ],425,1100.151025186002
服[ふく],426,1100.490524457712
連[つ],427,1103.192514831665
配[はい],428,1103.580387274343
原[げん],429,1103.889872646012
海[かい],430,1104.275592959168
光[こう],431,1111.229792154012
具[ぐ],432,1113.184535213117
勝[しょう],433,1116.324135727898
訳[わけ],434,1117.449956586571
美[び],435,1119.114369406469
初[はじ],436,1119.931736563327
音[おと],437,1122.003102448570
工[こう],438,1122.080082483149
進[しん],439,1125.655944294344
再[さい],440,1129.315548882049
離[はな],441,1130.443136165834
読[よ],442,1133.077032533330
体[からだ],443,1136.347501787721
産[さん],444,1136.905919049161
限[げん],445,1138.168929273182
職[しょく],446,1139.894819634845
多[おお],447,1140.973981641251
金[かね],448,1148.509484817891
敵[てき],449,1151.213691569980
一人[ひとり],450,1160.569101396116
捨[す],451,1167.516658943666
余[よ],452,1170.979906843968
苦[く],453,1174.692766051772
未[み],454,1174.746854816825
売[う],455,1176.291548206656
君[きみ],456,1180.494276100624
労[ろう],457,1185.426186230588
座[ざ],458,1187.519324198928
守[まも],459,1187.996119876386
普[ふ],460,1188.515782491588
頑[がん],461,1192.732544851963
生[う],462,1194.654064609880
送[おく],463,1196.971404555108
店[てん],464,1198.558839563998
首[くび],465,1201.460993614848
形[けい],466,1202.941667845937
師[し],467,1204.559590801009
来[き],468,1206.335242090426
朝[あさ],469,1206.948801997892
休[やす],470,1208.136414244902
所[ところ],471,1208.821859748677
裏[うら],472,1209.082978379104
非[ひ],473,1216.258709000730
政[せい],474,1217.972146195951
決[けっ],475,1221.337529809251
際[さい],476,1225.178814015670
夢[ゆめ],477,1229.772207347072
注[ちゅう],478,1238.133724109663
花[はな],479,1245.970772226103
構[こう],480,1247.776422911339
装[そう],481,1248.556483595886
王[おう],482,1249.907781425832
他[ほか],483,1250.808497728488
認[にん],484,1250.872407166152
殺[ころ],485,1250.914684592705
赤[あか],486,1254.723687740789
望[ぼう],487,1256.026175755928
路[ろ],488,1257.588381046382
資[し],489,1259.420757611889
指[し],490,1260.423229049985
難[なん],491,1263.177257157999
昔[むかし],492,1263.263740586141
局[きょく],493,1264.365326441057
官[かん],494,1272.162861833986
容[よう],495,1276.079640112555
残[ざん],496,1276.644369334643
像[ぞう],497,1280.581922215762
口[ぐち],498,1285.624418154177
甘[あま],499,1285.952302082332
着[き],500,1287.298108707864
後[こう],501,1290.709433161698
思[し],502,1292.812440248667
団[だん],503,1293.423741715465
準[じゅん],504,1295.812429884578
逆[ぎゃく],505,1297.310390794355
似[に],506,1297.463985758402
歩[ある],507,1300.486081747117
婚[こん],508,1303.260834538905
速[そく],509,1308.926602820382
選[せん],510,1309.226078545696
門[もん],511,1309.556608956246
退[たい],512,1315.754100392835
張[は],513,1318.889184421965
査[さ],514,1319.465502093776
殺[さつ],515,1320.419961169042
勝[かっ],516,1321.188578740999
若[わか],517,1321.486515756472
姿[すがた],518,1323.751578545592
席[せき],519,1323.861503716847
号[ごう],520,1324.951181767818
科[か],521,1324.971146022952
護[ご],522,1325.168531053045
夜[や],523,1325.407220700220
置[ち],524,1326.047080958471
開[ひら],525,1326.185203030868
伝[でん],526,1329.855292425725
管[かん],527,1333.165833357176
遠[とお],528,1337.246468081102
片[かた],529,1346.942663459816
毎[まい],530,1351.906320711458
価[か],531,1352.160064603674
広[ひろ],532,1355.361493669622
離[り],533,1356.751609616804
優[ゆう],534,1358.469458657416
疲[つか],535,1359.547184403195
共[きょう],536,1360.163370932617
立[だ],537,1364.072730533403
１[いち],538,1367.467311737473
怖[こわ],539,1368.897700950801
黒[くろ],540,1369.061587830055
居[い],541,1378.308777627893
医[い],542,1379.651955702341
遊[あそ],543,1382.440418781755
束[そく],544,1391.823364865249
収[しゅう],545,1392.753732803951
年[とし],546,1395.981770254162
罪[ざい],547,1397.876385213507
防[ぼう],548,1398.597568198045
隊[たい],549,1401.198965843021
商[しょう],550,1403.971650344704
彼[かの],551,1405.151021494569
類[るい],552,1405.825611364666
学[がっ],553,1405.888859759526
作[さ],554,1407.212495978009
人[り],555,1412.245167132945
負[ま],556,1414.259750485789
切[せつ],557,1415.286608612077
犯[はん],558,1416.487503300289
階[かい],559,1416.829883835326
傷[きず],560,1416.873080808386
止[し],561,1417.137635883281
横[よこ],562,1417.760159623177
馬[ば],563,1418.785333662125
耳[みみ],564,1419.693788200446
邪[じゃ],565,1420.014395277207
困[こま],566,1420.618187273347
秘[ひ],567,1423.159012536613
踏[ふ],568,1433.003625547937
頭[とう],569,1433.988350513877
部屋[へや],570,1434.551305968837
乱[らん],571,1434.934144068447
巻[ま],572,1436.339595141260
密[みつ],573,1437.025714411185
険[けん],574,1439.459895162564
院[いん],575,1441.293956798291
遠[えん],576,1441.792740595268
付[づ],577,1443.658010089421
日本[にほん],578,1444.725062323524
親[しん],579,1445.588612314752
途[と],580,1445.833382639599
届[とど],581,1446.348480244436
弁[べん],582,1451.124597556292
台[だい],583,1451.622555527553
個[こ],584,1451.832564701564
下[さ],585,1456.165181771166
嫌[いや],586,1457.261789859092
友[とも],587,1460.294439519268
技[ぎ],588,1464.487101980620
腕[うで],589,1464.622952888250
参[さん],590,1464.824360267162
皆[みな],591,1465.760971168483
火[か],592,1466.096044043162
兵[へい],593,1467.015248116348
伝[つた],594,1467.071957168720
腹[はら],595,1467.776362463412
勝[か],596,1468.268875315260
子[す],597,1470.412551956238
終[しゅう],598,1474.337041364582
惑[わく],599,1475.974557714633
許[ゆる],600,1479.299046582085
支[し],601,1481.445346592026
声[ごえ],602,1487.459969521459
造[ぞう],603,1494.634248877536
浮[う],604,1495.216657560175
熱[ねつ],605,1496.799210154809
楽[らく],606,1498.260287836114
丸[まる],607,1500.286243992279
弱[よわ],608,1501.202677942899
無[ぶ],609,1504.303065807611
血[ち],610,1506.026185408037
進[すす],611,1506.281000593713
供[ども],612,1507.159411716405
検[けん],613,1507.703655500843
介[かい],614,1511.828257850312
気[け],615,1512.969145853566
詰[つ],616,1513.797075262192
指[ゆび],617,1514.558026863075
切[ぎ],618,1518.953438408631
命[いのち],619,1519.023335539060
